Data Hora,QtdBites
2021-09-03 03:30:33,484768
2021-09-03 03:31:03,491288
2021-09-03 03:31:33,1054672
2021-09-03 03:32:03,2059800
2021-09-03 03:32:33,1928664
2021-09-03 03:33:03,524408
2021-09-03 03:33:33,3390912
2021-09-03 03:34:03,2671176
2021-09-03 03:34:33,1845752
2021-09-03 03:35:03,479568
2021-09-03 03:35:33,1059904
2021-09-03 03:36:03,763872
2021-09-03 03:36:33,2993368
2021-09-03 03:37:03,1488888
2021-09-03 03:37:33,1917896
2021-09-03 03:38:03,4242376
2021-09-03 03:38:33,3341808
2021-09-03 03:39:03,508456
2021-09-03 03:39:33,498576
2021-09-03 03:40:03,520192
2021-09-03 03:40:33,520744
2021-09-03 03:41:04,503672
2021-09-03 03:41:33,502432
2021-09-03 03:42:03,498304
2021-09-03 03:42:33,553800
2021-09-03 03:43:03,504608
2021-09-03 03:43:33,511528
2021-09-03 03:44:03,52631296
2021-09-03 03:44:33,36532760
2021-09-03 03:45:03,55166200
2021-09-03 03:45:33,685768
