Data;Hora;NDeSerie;QtdBites
14-09-2021;15:29:03;1631644143;86572336
14-09-2021;15:28:33;1631644113;63222896
14-09-2021;15:28:03;1631644083;139432136
14-09-2021;15:27:33;1631644053;146217800
14-09-2021;15:27:04;1631644024;93212096
14-09-2021;15:26:33;1631643993;122401072
14-09-2021;15:26:03;1631643963;153259560
14-09-2021;15:25:03;1631643903;98049792
14-09-2021;15:24:33;1631643873;120141040
14-09-2021;15:24:03;1631643843;98116464
14-09-2021;15:23:33;1631643813;114377504
14-09-2021;15:23:03;1631643783;135698432
14-09-2021;15:22:33;1631643753;89203488
14-09-2021;15:22:03;1631643723;126146904
14-09-2021;15:21:33;1631643693;163515320
14-09-2021;15:20:33;1631643633;85719560
14-09-2021;15:20:03;1631643603;84175376
14-09-2021;15:19:33;1631643573;39596240
14-09-2021;15:19:03;1631643543;130184776
14-09-2021;15:18:33;1631643513;118201744
14-09-2021;15:18:03;1631643483;105181096
14-09-2021;15:17:33;1631643453;97030032
14-09-2021;15:17:03;1631643423;111666608
14-09-2021;15:16:33;1631643393;73754616
14-09-2021;15:16:03;1631643363;124819632
14-09-2021;15:15:33;1631643333;123248872
14-09-2021;15:14:33;1631643273;161462984
14-09-2021;15:14:03;1631643243;159038672
14-09-2021;15:13:33;1631643213;131164976
14-09-2021;15:13:03;1631643183;98348360
14-09-2021;15:12:33;1631643153;48133624
14-09-2021;15:12:03;1631643123;57804616
14-09-2021;15:11:33;1631643093;141421672
14-09-2021;15:11:03;1631643063;80021272
14-09-2021;15:10:33;1631643033;93673000
14-09-2021;15:09:33;1631642973;146092520
14-09-2021;15:09:03;1631642943;181362256
14-09-2021;15:08:34;1631642914;159141384
14-09-2021;15:08:03;1631642883;135009480
14-09-2021;15:07:33;1631642853;110908896
14-09-2021;15:07:03;1631642823;131142568
14-09-2021;15:06:33;1631642793;107719040
14-09-2021;15:05:33;1631642733;98187816
14-09-2021;15:05:03;1631642703;86308984
14-09-2021;15:04:33;1631642673;103213824
14-09-2021;15:04:04;1631642644;110712688
14-09-2021;15:03:33;1631642613;130038584
14-09-2021;15:03:03;1631642583;91743080
14-09-2021;15:02:34;1631642554;94112024
14-09-2021;15:02:04;1631642524;78731784
14-09-2021;15:01:33;1631642493;138543064
14-09-2021;15:01:03;1631642463;120535496
14-09-2021;15:00:03;1631642403;50765336
